tempo_min,sensorId,latitude,longitude,vazao,status,pH,DQO,OD,turbidez,temperatura,coliformes,ecoli,H2S,amonia,qualidade
0.00,Centro,-2.515000,-44.290600,140.28,NORMAL,8.50,361.42,1.58,566.25,20.85,1725,1001,1.71,0.59,RUIM
0.00,Renascenca,-2.503800,-44.256200,147.86,NORMAL,7.30,350.44,4.34,428.24,24.12,2321,121,1.88,3.01,RUIM
0.00,Turu,-2.537900,-44.247400,148.83,NORMAL,7.38,256.97,3.17,108.91,21.42,1755,1074,1.98,1.26,RUIM
0.00,Sao_Cristovao,-2.495400,-44.265200,190.10,NORMAL,6.85,523.23,3.66,316.52,28.44,1854,790,1.95,3.44,RUIM
0.00,Anil,-2.522700,-44.254900,186.73,NORMAL,7.39,293.50,4.93,691.81,30.55,1794,353,1.02,3.32,MODERADA
0.00,Vinhais,-2.570000,-44.296600,220.45,NORMAL,7.19,580.85,1.72,826.83,32.24,1233,557,1.97,3.49,RUIM
0.00,Bequimao,-2.558900,-44.248400,241.59,NORMAL,7.45,361.20,4.03,634.54,29.15,1415,1015,0.64,3.53,MODERADA
0.00,Cohama,-2.487700,-44.228700,262.24,NORMAL,8.29,264.66,4.98,552.05,32.67,1200,165,1.51,3.81,RUIM
0.03,Centro,-2.515000,-44.290600,113.55,NORMAL,7.92,356.66,3.70,325.06,30.60,1749,915,1.57,2.09,RUIM
0.03,Renascenca,-2.503800,-44.256200,142.55,NORMAL,6.69,268.31,4.42,311.51,19.01,1773,499,1.27,2.09,MODERADA
0.03,Turu,-2.537900,-44.247400,146.23,NORMAL,7.91,561.44,1.99,809.76,18.69,1584,957,0.01,1.74,RUIM
0.03,Sao_Cristovao,-2.495400,-44.265200,170.38,NORMAL,8.43,526.33,4.13,662.33,23.74,1103,340,0.43,3.10,RUIM
0.03,Anil,-2.522700,-44.254900,191.16,NORMAL,6.76,449.80,4.85,893.22,30.08,1644,1088,0.43,1.31,RUIM
0.03,Vinhais,-2.570000,-44.296600,228.04,NORMAL,6.62,473.63,4.76,484.55,32.21,1958,497,1.03,2.80,MODERADA
0.03,Bequimao,-2.558900,-44.248400,233.58,NORMAL,7.46,394.55,3.16,861.07,25.05,2214,135,0.57,3.69,RUIM
0.03,Cohama,-2.487700,-44.228700,262.02,NORMAL,7.15,273.89,1.85,786.75,21.20,2017,801,0.56,4.76,RUIM
0.07,Centro,-2.515000,-44.290600,129.89,NORMAL,8.17,428.32,4.10,795.02,25.75,1546,1032,1.73,1.34,RUIM
0.07,Renascenca,-2.503800,-44.256200,151.48,NORMAL,8.03,509.41,3.14,131.48,25.16,993,845,1.96,2.25,RUIM
0.07,Turu,-2.537900,-44.247400,159.66,NORMAL,7.41,593.78,3.66,389.93,18.63,2067,1089,1.03,1.39,RUIM
0.07,Sao_Cristovao,-2.495400,-44.265200,185.81,NORMAL,7.99,317.36,1.46,879.13,26.69,668,1009,0.47,4.45,RUIM
0.07,Anil,-2.522700,-44.254900,202.90,NORMAL,7.11,478.44,2.11,386.50,23.88,1734,690,0.89,3.79,MODERADA
0.07,Vinhais,-2.570000,-44.296600,597.01,VAZAMENTO,7.85,576.82,1.87,78.36,31.74,1626,841,1.39,4.42,RUIM
0.07,Bequimao,-2.558900,-44.248400,222.30,NORMAL,8.25,350.39,2.70,783.26,28.50,587,682,1.37,4.97,RUIM
0.07,Cohama,-2.487700,-44.228700,60.54,ENTUPIMENTO,8.12,450.84,4.96,591.25,24.59,916,356,0.23,4.74,RUIM
0.10,Centro,-2.515000,-44.290600,130.61,NORMAL,7.31,435.42,1.77,561.64,23.78,588,857,0.88,2.75,RUIM
0.10,Renascenca,-2.503800,-44.256200,141.46,NORMAL,8.32,235.82,1.35,965.81,31.51,2164,155,1.59,2.52,RUIM
0.10,Turu,-2.537900,-44.247400,151.04,NORMAL,7.45,421.92,1.85,761.28,28.07,915,620,0.45,4.71,RUIM
0.10,Sao_Cristovao,-2.495400,-44.265200,188.71,NORMAL,7.39,330.07,2.92,295.58,25.61,2245,1044,1.99,2.36,RUIM
0.10,Anil,-2.522700,-44.254900,210.82,NORMAL,7.97,322.82,2.29,234.66,19.17,1329,895,0.87,4.98,RUIM
0.10,Vinhais,-2.570000,-44.296600,222.86,NORMAL,6.55,586.88,4.02,493.92,21.32,1730,438,0.80,1.17,RUIM
0.10,Bequimao,-2.558900,-44.248400,233.07,NORMAL,7.10,314.21,4.93,856.71,29.55,2124,211,1.50,1.04,RUIM
0.10,Cohama,-2.487700,-44.228700,259.89,NORMAL,8.14,450.69,2.06,352.63,22.91,1264,323,1.29,3.97,MODERADA
0.13,Centro,-2.515000,-44.290600,119.65,NORMAL,7.67,210.12,4.14,366.14,29.08,515,883,0.21,1.28,BOA
